City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,nar'yan-mar,67.6713,53.087,250.43,91,97,4.92,RU,1702221511
262,pacocha,-17.5833,-71.3333,294.63,72,59,2.95,PE,1702221511
263,itoman,26.1247,127.6694,295.16,78,4,2.06,JP,1702221512
264,kapuskasing,49.4169,-82.4331,268.2,86,100,5.66,CA,1702221464
265,punta arenas,-53.15,-70.9167,284.21,40,20,13.89,CL,1702221482
266,amasya,40.6667,35.8333,282.97,68,27,0.74,TR,1702221513
267,bukama,-9.2,25.85,303.72,57,100,2.01,CD,1702221513
268,ruiz,21.95,-105.15,295.85,42,0,1.2,MX,1702221514
269,port-cartier,50.0334,-66.8654,274.21,91,100,4.37,CA,1702221515
270,deogarh,21.5333,84.7333,290.75,60,0,1.08,IN,1702221516
271,banda aceh,5.5577,95.3222,299.58,86,100,2.6,ID,1702221516
272,hatillo,18.4863,-66.8254,303.19,72,71,6.26,PR,1702221517
273,afif,23.9065,42.9172,293.61,19,100,3.52,SA,1702221517
274,luba,3.4568,8.5547,303.09,82,48,1.94,GQ,1702221520
275,sahibganj,25.25,87.65,291.14,35,0,1.76,IN,1702221521
276,yoichi,43.2039,140.7703,271.17,84,100,9.49,JP,1702221521
277,gelendost,38.1208,31.0153,281.35,74,70,3.59,TR,1702221522
278,sinabang,2.4803,96.3801,299.57,85,99,1.63,ID,1702221522
279,puerto carreno,6.189,-67.4859,305.09,52,11,2.75,CO,1702221523
280,champerico,14.3,-91.9167,304.45,65,12,2.26,GT,1702221523
281,raton,36.9034,-104.4391,265.34,78,0,2.57,US,1702221524
282,kargasok,59.0556,80.8572,244.24,97,27,3.13,RU,1702221524
283,moree,-29.4667,149.85,296.58,52,0,7.11,AU,1702221525
284,pisco,-13.7,-76.2167,295.18,78,60,4.12,PE,1702221525
285,firuzabad,28.8438,52.5707,288.21,37,37,1.57,IR,1702221526
286,labuan,5.2767,115.2417,300.35,89,20,0.0,MY,1702221526
287,mbulu,-3.85,35.5333,292.91,75,93,4.48,TZ,1702221527
288,chudey,48.0525,25.6221,269.11,97,82,0.51,UA,1702221527
289,luwuk,-0.9516,122.7875,299.52,85,100,1.61,ID,1702221527
290,santa maria da vitoria,-13.3947,-44.1886,310.35,25,17,2.77,BR,1702221527
291,hebi,35.8992,114.1925,271.42,95,100,7.42,CN,1702221528
292,hotan,37.0997,79.9269,280.07,21,0,4.52,CN,1702221528
293,sidney,-33.8679,151.2073,295.54,83,81,3.6,AU,1702221247
294,mombetsu,44.3525,143.3525,269.44,74,67,8.62,JP,1702221528
295,yung shue wan,22.2333,114.1167,296.9,86,45,0.45,HK,1702221529
296,'alaqahdari dishu,30.4374,63.313,288.65,24,10,1.82,AF,1702221529
297,vila franca do campo,37.7167,-25.4333,291.42,99,100,5.18,PT,1702221529
298,sake,-1.5736,29.045,293.52,94,91,0.88,CD,1702221530
299,codrington,-38.2667,141.9667,288.16,90,100,7.58,AU,1702221530
300,kemise,10.7167,39.8667,293.82,45,26,2.46,ET,1702221530
301,barra de santo antonio,-9.4047,-35.5072,303.75,62,96,5.8,BR,1702221531
302,san juan de miraflores,-12.1629,-76.9635,293.44,75,25,3.49,PE,1702221531
303,port hueneme,34.1478,-119.1951,290.67,15,0,6.69,US,1702221317
304,buka,40.8108,69.1986,275.94,62,100,1.75,UZ,1702221308
305,artesia,33.8658,-118.0831,290.38,19,0,3.09,US,1702221532
306,lakatoro,-16.0999,167.4164,298.04,78,100,5.1,VU,1702221533
307,anadyr,64.75,177.4833,248.43,83,0,4.0,RU,1702221534
308,ust-nera,64.5667,143.2,257.54,98,100,3.12,RU,1702221534
309,kuanda,56.3161,116.0806,237.05,93,33,0.34,RU,1702221535
310,onega,63.9061,38.1404,258.74,92,100,6.38,RU,1702221421
311,veraval,20.9,70.3667,297.66,56,14,3.42,IN,1702221537
312,tocopilla,-22.092,-70.1979,294.71,68,33,1.68,CL,1702221537
313,laojunmiao,39.8333,97.7333,267.48,61,99,0.55,CN,1702221537
314,nabire,-3.3667,135.4833,298.79,86,100,0.7,ID,1702221538
315,uturoa,-16.7333,-151.4333,299.73,82,65,8.4,PF,1702221538
316,bairnsdale,-37.8333,147.6167,291.51,94,100,1.13,AU,1702221538
317,ibimirim,-8.5406,-37.6903,308.54,21,0,3.1,BR,1702221435
318,neuruppin,52.9282,12.8031,280.36,88,100,7.69,DE,1702221539
319,fale old settlement,-9.3852,-171.2468,300.05,86,100,9.46,TK,1702221540
320,mersa matruh,31.3525,27.2453,292.82,37,57,1.6,EG,1702221540
321,panama city beach,30.1766,-85.8055,292.22,98,100,2.06,US,1702221541
322,guankou,28.15,113.6333,284.04,95,100,1.85,CN,1702221541
323,shakiso,5.75,38.9167,293.6,53,83,1.34,ET,1702221541
324,cascais,38.6979,-9.4215,293.99,97,75,4.02,PT,1702221542
325,jiwani,25.05,61.7417,298.48,59,1,5.44,PK,1702221542
326,mingguang,32.7802,117.9638,281.51,80,100,6.52,CN,1702221543
327,nizhny tagil,57.9194,59.965,249.13,97,100,2.94,RU,1702221362
328,georgetown,5.4112,100.3354,302.11,90,20,1.54,MY,1702221451
329,pitimbu,-7.4706,-34.8086,304.48,57,70,5.31,BR,1702221546
